Scene_Name,Quaternion,Scale
truck,"-0.0872, 0.0000, 0.0000, 0.9962",0.8
treehill,"-0.2164, 0.0000, 0.0000, 0.9763",1
train,"0.0872, 0.0000, 0.0000, 0.9962",0.2
stump,"-0.4226, 0.0000, 0.0000, 0.9063",3
room,"-0.2164, 0.0000, 0.0000, 0.9763",2
playroom,"-0.2164, 0.0000, 0.0000, 0.9763",2
bicycle,"-0.1305, 0.0000, 0.0000, 0.9914",1
drjohnson,"-0.2126, 0.2126, 0.6744, 0.6744",1
nyc,"-0.1305, 0.0000, 0.0000, 0.9914",0.4
london,"-0.0436, 0.0000, 0.0000, 0.9990",0.4
berlin,"0.04345, 0.0038, -0.0870, 0.9952",0.6
alameda,"-0.1736, 0.0000, 0.0000, 0.9848",0.4
